id;geometry
73;POLYGON ((577046.1719411542 5828124.803966376, 577112.0103738508 5828147.359856638, 577105.6721025195 5828158.774809375, 577046.1719411542 5828124.803966376))
74;POLYGON ((577296.2185892496 5827663.914898923, 577211.9952884204 5827657.932506432, 577213.5815296132 5827650.592421901, 577296.2185892496 5827663.914898923))
75;POLYGON ((577321.3362999958 5828282.25181394, 577348.7899897436 5828212.706284119, 577380.4432707963 5828222.786815959, 577321.3362999958 5828282.25181394))
76;POLYGON ((577330.2429154052 5827594.206206502, 577327.0615195909 5827600.864596919, 577324.7992182617 5827600.394889817, 577330.2429154052 5827594.206206502))
77;POLYGON ((577454.2714713352 5827823.734606324, 577453.069484171 5827810.665185401, 577454.4738591377 5827810.54281912, 577454.2714713352 5827823.734606324))
78;POLYGON ((577092.9845558815 5827732.864165878, 577101.3296809881 5827745.000399206, 577091.9589284929 5827746.766114984, 577092.9845558815 5827732.864165878))
79;POLYGON ((577050.3379343511 5827366.236933583, 577050.9482690745 5827373.0776762245, 577020.2518305148 5827402.054249136, 577050.3379343511 5827366.236933583))
80;POLYGON ((577167.0245132137 5827859.307557441, 577167.0259916942 5827854.067416834, 577169.2133172934 5827856.060078761, 577167.0245132137 5827859.307557441))
81;POLYGON ((577047.4189057456 5827565.506019104, 577053.3503984797 5827572.185924299, 576991.3032744271 5827590.143467873, 577047.4189057456 5827565.506019104))
82;POLYGON ((577265.9355447792 5828199.590619118, 577275.3417954044 5828150.998060255, 577279.4423454197 5828156.013838373, 577265.9355447792 5828199.590619118))
83;POLYGON ((577073.6882459647 5828306.107190989, 577080.4328145344 5828297.691403453, 577083.534812715 5828314.473286167, 577073.6882459647 5828306.107190989))
84;POLYGON ((576971.4162399302 5827852.104991074, 576986.9764965244 5827858.669539283, 576976.4151322659 5827873.667299502, 576971.4162399302 5827852.104991074))
85;POLYGON ((577323.1642121781 5828147.52713546, 577312.2886812657 5828158.80325408, 577320.6583192834 5828142.347427017, 577323.1642121781 5828147.52713546))
86;POLYGON ((577430.167431382 5827866.809187068, 577450.3817141665 5827824.218089463, 577454.2714713352 5827823.734606324, 577430.167431382 5827866.809187068))
87;POLYGON ((577291.2631245062 5827560.240319594, 577330.2429154052 5827594.206206502, 577288.8133486636 5827570.976720496, 577291.2631245062 5827560.240319594))
88;POLYGON ((577043.6358286722 5827960.449831874, 577054.2655928758 5827947.98993211, 577063.4728244949 5827956.134491612, 577043.6358286722 5827960.449831874))
89;POLYGON ((577321.3362999958 5828282.25181394, 577306.961056584 5828237.310363383, 577348.7899897436 5828212.706284119, 577321.3362999958 5828282.25181394))
90;POLYGON ((577485.331800529 5827918.327778102, 577482.0879990605 5827909.698462295, 577481.1448980788 5827900.816374115, 577485.331800529 5827918.327778102))
91;POLYGON ((577143.0002160957 5828116.285820627, 577157.2970886389 5828100.691008813, 577147.6948190226 5828120.587700813, 577143.0002160957 5828116.285820627))
92;POLYGON ((577487.5109372952 5827823.660965311, 577454.2714713352 5827823.734606324, 577463.4530901473 5827809.116484001, 577487.5109372952 5827823.660965311))
93;POLYGON ((577264.1676192838 5828298.502845193, 577249.2710202012 5828271.076187961, 577294.4239506302 5828241.439817311, 577264.1676192838 5828298.502845193))
94;POLYGON ((577043.9963022566 5828017.274015193, 577058.2268138849 5828026.710479633, 577058.3538161315 5828032.831568904, 577043.9963022566 5828017.274015193))
95;POLYGON ((577214.1980335213 5828287.910953559, 577226.2393118187 5828283.851337869, 577235.8383044797 5828317.713764081, 577214.1980335213 5828287.910953559))
96;POLYGON ((577318.2470045716 5827809.753222733, 577311.5175611086 5827809.012555816, 577280.4472903293 5827723.354320378, 577318.2470045716 5827809.753222733))
97;POLYGON ((576991.3702347397 5827620.7176693445, 576999.7270582082 5827620.1039628275, 576985.3238616722 5827639.8140422525, 576991.3702347397 5827620.7176693445))
98;POLYGON ((576826.7479569174 5827765.250855604, 576829.265870254 5827768.850644667, 577016.1652457535 5828296.7888467265, 576826.7479569174 5827765.250855604))
99;POLYGON ((577372.2841752595 5827828.6100627035, 577367.9195565036 5827885.170365287, 577350.8405231091 5827829.939311772, 577372.2841752595 5827828.6100627035))
100;POLYGON ((577080.956460284 5828296.275588462, 577083.0427987236 5828285.983942449, 577087.6682698607 5828280.494135186, 577080.956460284 5828296.275588462))
101;POLYGON ((577271.442367639 5828051.473293586, 577264.8882279629 5828088.495819684, 577240.3513505379 5828076.014202695, 577271.442367639 5828051.473293586))
102;POLYGON ((577077.8418025785 5827596.759331124, 577083.9705057888 5827596.088362883, 577078.7181226768 5827604.7724664165, 577077.8418025785 5827596.759331124))
103;POLYGON ((577037.81373631 5828111.599543039, 577046.1719411542 5828124.803966376, 577039.6788255353 5828122.420800901, 577037.81373631 5828111.599543039))
104;POLYGON ((577348.1296477126 5828174.835308683, 577336.647925826 5828174.764758206, 577330.7383722275 5828154.789696366, 577348.1296477126 5828174.835308683))
105;POLYGON ((577048.1686790144 5827450.933994538, 577058.3817796669 5827450.362070801, 577057.0173498648 5827469.854853094, 577048.1686790144 5827450.933994538))
106;POLYGON ((577355.487161218 5828020.383467827, 577336.7407772995 5827929.279276276, 577420.062496823 5827986.716815691, 577355.487161218 5828020.383467827))
107;POLYGON ((577236.3621661521 5827892.990306589, 577224.8576916165 5827891.271359767, 577228.9598103549 5827879.110882418, 577236.3621661521 5827892.990306589))
108;POLYGON ((577210.4003759638 5827851.860130465, 577206.9518136225 5827845.007873331, 577210.72838677 5827843.109455284, 577210.4003759638 5827851.860130465))
109;POLYGON ((577403.3224362936 5827736.558815911, 577397.2527078774 5827709.994786827, 577420.5571800389 5827699.01592427, 577403.3224362936 5827736.558815911))
110;POLYGON ((577460.0040854323 5827695.491379354, 577454.8584659661 5827731.59033286, 577452.677941888 5827722.121228649, 577460.0040854323 5827695.491379354))
111;POLYGON ((577423.2963495166 5827888.261747462, 577413.1971500614 5827889.4033887265, 577423.1360374272 5827886.835126126, 577423.2963495166 5827888.261747462))
112;POLYGON ((577376.23990459 5827811.984281143, 577351.8235236687 5827820.486971545, 577338.7116468316 5827819.127884069, 577376.23990459 5827811.984281143))
113;POLYGON ((577182.5404632116 5828206.516195307, 577172.6506823243 5828189.304352721, 577178.2385428495 5828185.087027916, 577182.5404632116 5828206.516195307))
114;POLYGON ((577057.4674345709 5827557.731950022, 577066.3339593173 5827562.611316113, 577058.0615756835 5827563.448755268, 577057.4674345709 5827557.731950022))
115;POLYGON ((577374.436084697 5828188.035308626, 577353.0887831658 5828135.896259805, 577355.7729369967 5828132.812466183, 577374.436084697 5828188.035308626))
116;POLYGON ((577430.167431382 5827866.809187068, 577442.0249333143 5827821.426576684, 577448.8001065382 5827823.98162677, 577430.167431382 5827866.809187068))
117;POLYGON ((577336.5805171446 5828186.723742022, 577319.8628388898 5828166.065798257, 577336.647925826 5828174.764758206, 577336.5805171446 5828186.723742022))
118;POLYGON ((577112.6407658593 5827855.945501425, 577148.0539795831 5827858.918913115, 577137.1681328034 5827894.004069493, 577112.6407658593 5827855.945501425))
119;POLYGON ((577223.6388865579 5828142.392427392, 577275.3417954044 5828150.998060255, 577265.9355447792 5828199.590619118, 577223.6388865579 5828142.392427392))
120;POLYGON ((577321.3362999958 5828282.25181394, 577313.6661189091 5828287.059049539, 577302.8332354838 5828241.72866007, 577321.3362999958 5828282.25181394))
121;POLYGON ((577401.8295917249 5827529.73208472, 577382.6490772136 5827555.350934655, 577373.0676039971 5827561.407274135, 577401.8295917249 5827529.73208472))
122;POLYGON ((577294.4239506302 5828241.439817311, 577302.8332354838 5828241.72866007, 577313.6661189091 5828287.059049539, 577294.4239506302 5828241.439817311))
123;POLYGON ((577216.6666945233 5828001.042454058, 577212.5985173278 5828008.109668342, 577177.565116718 5827980.309385153, 577216.6666945233 5828001.042454058))
124;POLYGON ((577440.2215257188 5827807.40194715, 577439.2870957779 5827809.078229583, 577432.942043062 5827811.870312586, 577440.2215257188 5827807.40194715))
125;POLYGON ((577219.77643627 5827587.864006331, 577175.7842362699 5827566.84236118, 577175.9159573789 5827559.790806051, 577219.77643627 5827587.864006331))
126;POLYGON ((577269.2241128894 5827612.632668765, 577227.7561985862 5827593.107925291, 577236.5084146356 5827588.918424815, 577269.2241128894 5827612.632668765))
127;POLYGON ((576939.9328180646 5827842.652904374, 576946.8859714917 5827836.932609249, 576954.5750016958 5827838.689200541, 576939.9328180646 5827842.652904374))
128;POLYGON ((577083.0427987236 5828285.983942449, 577081.9517682726 5828285.577327433, 577084.3545391809 5828279.273646479, 577083.0427987236 5828285.983942449))
